name;population;latitude;longitude
Жужелино;30;57.7263888888889;41.0072222222222
Слабеево;30;59.2491666666667;37.6708333333333
Трошигино;30;61.2408333333333;36.6419444444444
Новая Поляна;30;53.5844444444444;44.3641666666667
Десятины;30;58.3641666666667;31.1641666666667
Садки;30;56.8569444444444;38.0858333333333
Воробьево;30;57.7305555555556;36.6888888888889
Новое Никольское;30;57.1894444444444;38.0258333333333
Баландиха;30;57.2475;44.9991666666667
Нижний Турунъю;30;60.3366666666667;52.0638888888889
Новые Раглицы;30;59.4297222222222;29.6622222222222
Чапаево;30;55.9677777777778;70.3833333333333
Черемисский;30;56.1952777777778;44.0527777777778
Мишина;30;59.1791666666667;61.8969444444444
Нижнесоинский;30;50.7022222222222;41.765
Карнаухова;30;56.4797222222222;107.833888888889
Тюриково;30;58.465;40.7463888888889
Малиново;30;50.9577777777778;38.7686111111111
Солалейка;30;54.2619444444444;52.475
Шибаново;30;55.405;61.9211111111111
Куликовка;30;55.4358333333333;45.9355555555556
Наилы;30;55.2661111111111;60.1836111111111
Жихарево;30;59.4752777777778;40.0066666666667
Васильевское;30;58.4544444444444;44.7425
Марьино-1;30;54.5166666666667;39.8752777777778
Дурасово;30;57.5622222222222;41.1791666666667
Тулбень;30;57.0744444444444;49.1316666666667
Машино;30;56.2747222222222;38.0419444444444
Рузвель;30;53.7919444444444;43.6936111111111
Чулпан;30;53.4711111111111;54.6925
Богослов;30;58.1636111111111;42.8252777777778
Граддор;30;61.5544444444444;50.7822222222222
Хлебороб;30;50.6269444444444;48.3144444444444
Поломец;30;58.3794444444444;49.9908333333333
Большой Пальник;30;59.6455555555556;54.4772222222222
Ивановское;30;56.3841666666667;35.0008333333333
Беляевка;30;59.6163888888889;45.8094444444444
Лутово;30;53.39;38.0911111111111
Полюдово;30;57.8366666666667;55.9863888888889
Ива;30;58.0230555555556;60.3858333333333
Шеломово;30;58.2608333333333;37.9597222222222
Большая Ерыкла;30;55.2127777777778;47.8122222222222
Криушино;30;55.535;35.9102777777778
Спичево;30;56.8166666666667;35.6027777777778
Павлюково;30;56.8577777777778;41.5055555555556
Ровдино;30;60.17;46.81
Албычева;30;59.4402777777778;62.3563888888889
Свидерск;30;56.6725;74.0661111111111
Пересекино;30;55.1083333333333;45.16
Николаевский;30;54.1288888888889;80.2119444444444
Литвиново;30;54.5905555555556;36.3686111111111
Артемовка;30;51.9763888888889;40.9119444444444
Зареченский;30;53.1775;35.9958333333333
Видусово;30;56.0461111111111;29.5719444444444
Базыкино;30;56.5033333333333;35.4608333333333
Никитино;30;56.9252777777778;50.1016666666667
Хоружевка;30;51.5763888888889;36.2791666666667
Уронда Большая;30;56.7244444444444;40.1741666666667
Писаревка;30;52.2244444444444;38.8019444444444
Мялово;30;56.6513888888889;28.4838888888889
Михальцево;30;59.2466666666667;39.8013888888889
Башмаки;30;59.0594444444444;57.5144444444444
Напутново;30;55.9069444444444;39.7027777777778
Бахчисарай;30;54.5752777777778;53.5511111111111
Александровка;30;52.9044444444444;80.5847222222222
Тростино;30;54.1166666666667;32.5072222222222
Хевчен;30;49.7175;135.766944444444
Ощепково;30;58.0441666666667;54.7061111111111
Тимонино;30;55.7108333333333;39.2277777777778
Снегиревка;30;60.5675;41.1452777777778
